sample_id,split,split_type,heldout
ZEN49,train,leave_organ_out,Breast
TENX70,train,leave_organ_out,Breast
TENX28,train,leave_organ_out,Breast
TENX29,train,leave_organ_out,Breast
TENX49,train,leave_organ_out,Breast
MEND33,train,leave_organ_out,Breast
MEND34,train,leave_organ_out,Breast
MEND35,train,leave_organ_out,Breast
MEND36,train,leave_organ_out,Breast
MEND91,train,leave_organ_out,Breast
MEND92,train,leave_organ_out,Breast
MEND93,train,leave_organ_out,Breast
MEND95,train,leave_organ_out,Breast
MEND96,train,leave_organ_out,Breast
TENX89,train,leave_organ_out,Breast
TENX90,train,leave_organ_out,Breast
TENX91,train,leave_organ_out,Breast
TENX92,train,leave_organ_out,Breast
TENX73,train,leave_organ_out,Breast
TENX56,train,leave_organ_out,Breast
TENX27,train,leave_organ_out,Breast
TENX30,train,leave_organ_out,Breast
TENX31,train,leave_organ_out,Breast
NCBI653,train,leave_organ_out,Breast
NCBI654,train,leave_organ_out,Breast
NCBI655,train,leave_organ_out,Breast
NCBI656,train,leave_organ_out,Breast
NCBI657,train,leave_organ_out,Breast
NCBI628,train,leave_organ_out,Breast
NCBI629,train,leave_organ_out,Breast
NCBI630,train,leave_organ_out,Breast
NCBI631,train,leave_organ_out,Breast
NCBI632,train,leave_organ_out,Breast
NCBI633,train,leave_organ_out,Breast
NCBI634,train,leave_organ_out,Breast
NCBI635,train,leave_organ_out,Breast
NCBI636,train,leave_organ_out,Breast
NCBI637,train,leave_organ_out,Breast
NCBI638,train,leave_organ_out,Breast
NCBI639,train,leave_organ_out,Breast
NCBI640,train,leave_organ_out,Breast
NCBI641,train,leave_organ_out,Breast
MEND63,train,leave_organ_out,Breast
MEND64,train,leave_organ_out,Breast
MEND65,train,leave_organ_out,Breast
MEND66,train,leave_organ_out,Breast
MEND67,train,leave_organ_out,Breast
MEND68,train,leave_organ_out,Breast
MISC1,train,leave_organ_out,Breast
MISC10,train,leave_organ_out,Breast
MISC11,train,leave_organ_out,Breast
MISC12,train,leave_organ_out,Breast
MISC2,train,leave_organ_out,Breast
MISC3,train,leave_organ_out,Breast
MISC4,train,leave_organ_out,Breast
MISC5,train,leave_organ_out,Breast
MISC6,train,leave_organ_out,Breast
MISC7,train,leave_organ_out,Breast
MISC8,train,leave_organ_out,Breast
MISC9,train,leave_organ_out,Breast
TENX68,test,leave_organ_out,Breast
NCBI776,test,leave_organ_out,Breast
TENX13,test,leave_organ_out,Breast
TENX14,test,leave_organ_out,Breast
TENX39,test,leave_organ_out,Breast
TENX23,test,leave_organ_out,Breast
TENX53,test,leave_organ_out,Breast
TENX24,test,leave_organ_out,Breast
TENX50,train,leave_organ_out,Breast
NCBI1,train,leave_organ_out,Breast
NCBI2,train,leave_organ_out,Breast
NCBI3,train,leave_organ_out,Breast
NCBI4,train,leave_organ_out,Breast
NCBI591,train,leave_organ_out,Breast
NCBI592,train,leave_organ_out,Breast
NCBI593,train,leave_organ_out,Breast
NCBI594,train,leave_organ_out,Breast
NCBI595,train,leave_organ_out,Breast
NCBI771,train,leave_organ_out,Breast
TENX15,train,leave_organ_out,Breast
MISC101,train,leave_organ_out,Breast
MISC102,train,leave_organ_out,Breast
MISC103,train,leave_organ_out,Breast
MISC104,train,leave_organ_out,Breast
MISC105,train,leave_organ_out,Breast
MISC106,train,leave_organ_out,Breast
MISC107,train,leave_organ_out,Breast
MISC108,train,leave_organ_out,Breast
MISC109,train,leave_organ_out,Breast
MISC110,train,leave_organ_out,Breast
MISC111,train,leave_organ_out,Breast
MISC112,train,leave_organ_out,Breast
MISC113,train,leave_organ_out,Breast
MISC114,train,leave_organ_out,Breast
MISC115,train,leave_organ_out,Breast
MISC116,train,leave_organ_out,Breast
MISC117,train,leave_organ_out,Breast
MISC118,train,leave_organ_out,Breast
MISC119,train,leave_organ_out,Breast
MISC120,train,leave_organ_out,Breast
MISC121,train,leave_organ_out,Breast
MISC122,train,leave_organ_out,Breast
MISC123,train,leave_organ_out,Breast
MISC124,train,leave_organ_out,Breast
MISC125,train,leave_organ_out,Breast
MISC126,train,leave_organ_out,Breast
MISC127,train,leave_organ_out,Breast
MISC128,train,leave_organ_out,Breast
MISC129,train,leave_organ_out,Breast
MISC130,train,leave_organ_out,Breast
MISC131,train,leave_organ_out,Breast
MISC132,train,leave_organ_out,Breast
MISC133,train,leave_organ_out,Breast
MISC134,train,leave_organ_out,Breast
MISC135,train,leave_organ_out,Breast
MISC136,train,leave_organ_out,Breast
MISC138,train,leave_organ_out,Breast
MISC139,train,leave_organ_out,Breast
MISC140,train,leave_organ_out,Breast
MISC141,train,leave_organ_out,Breast
MISC142,train,leave_organ_out,Breast
NCBI562,train,leave_organ_out,Breast
NCBI563,train,leave_organ_out,Breast
NCBI564,train,leave_organ_out,Breast
NCBI565,train,leave_organ_out,Breast
NCBI566,train,leave_organ_out,Breast
NCBI567,train,leave_organ_out,Breast
NCBI568,train,leave_organ_out,Breast
NCBI538,train,leave_organ_out,Breast
NCBI539,train,leave_organ_out,Breast
NCBI540,train,leave_organ_out,Breast
MEND48,train,leave_organ_out,Breast
MEND49,train,leave_organ_out,Breast
MEND54,train,leave_organ_out,Breast
TENX71,train,leave_organ_out,Breast
NCBI599,train,leave_organ_out,Breast
NCBI692,train,leave_organ_out,Breast
NCBI693,train,leave_organ_out,Breast
NCBI694,train,leave_organ_out,Breast
NCBI695,train,leave_organ_out,Breast
NCBI696,train,leave_organ_out,Breast
NCBI697,train,leave_organ_out,Breast
NCBI698,train,leave_organ_out,Breast
NCBI699,train,leave_organ_out,Breast
NCBI700,train,leave_organ_out,Breast
NCBI701,train,leave_organ_out,Breast
NCBI702,train,leave_organ_out,Breast
NCBI703,train,leave_organ_out,Breast
NCBI704,train,leave_organ_out,Breast
NCBI705,train,leave_organ_out,Breast
NCBI706,train,leave_organ_out,Breast
NCBI707,train,leave_organ_out,Breast
NCBI708,train,leave_organ_out,Breast
NCBI709,train,leave_organ_out,Breast
NCBI710,train,leave_organ_out,Breast
NCBI711,train,leave_organ_out,Breast
NCBI712,train,leave_organ_out,Breast
NCBI713,train,leave_organ_out,Breast
NCBI714,train,leave_organ_out,Breast
INT1,train,leave_organ_out,Breast
INT10,train,leave_organ_out,Breast
INT11,train,leave_organ_out,Breast
INT12,train,leave_organ_out,Breast
INT13,train,leave_organ_out,Breast
INT14,train,leave_organ_out,Breast
INT15,train,leave_organ_out,Breast
INT16,train,leave_organ_out,Breast
INT17,train,leave_organ_out,Breast
INT18,train,leave_organ_out,Breast
INT19,train,leave_organ_out,Breast
INT2,train,leave_organ_out,Breast
INT20,train,leave_organ_out,Breast
INT21,train,leave_organ_out,Breast
INT22,train,leave_organ_out,Breast
INT23,train,leave_organ_out,Breast
INT24,train,leave_organ_out,Breast
INT3,train,leave_organ_out,Breast
INT4,train,leave_organ_out,Breast
INT5,train,leave_organ_out,Breast
INT6,train,leave_organ_out,Breast
INT7,train,leave_organ_out,Breast
INT8,train,leave_organ_out,Breast
INT9,train,leave_organ_out,Breast
NCBI642,train,leave_organ_out,Breast
NCBI643,train,leave_organ_out,Breast
NCBI826,train,leave_organ_out,Breast
NCBI827,train,leave_organ_out,Breast
NCBI828,train,leave_organ_out,Breast
NCBI829,train,leave_organ_out,Breast
NCBI830,train,leave_organ_out,Breast
NCBI831,train,leave_organ_out,Breast
NCBI832,train,leave_organ_out,Breast
NCBI833,train,leave_organ_out,Breast
NCBI672,train,leave_organ_out,Breast
NCBI673,train,leave_organ_out,Breast
NCBI674,train,leave_organ_out,Breast
NCBI675,train,leave_organ_out,Breast
MISC13,train,leave_organ_out,Breast
MISC14,train,leave_organ_out,Breast
MISC15,train,leave_organ_out,Breast
MISC16,train,leave_organ_out,Breast
MISC17,train,leave_organ_out,Breast
MISC18,train,leave_organ_out,Breast
MISC19,train,leave_organ_out,Breast
MISC20,train,leave_organ_out,Breast
MISC21,train,leave_organ_out,Breast
MISC22,train,leave_organ_out,Breast
MISC23,train,leave_organ_out,Breast
MISC24,train,leave_organ_out,Breast
MISC25,train,leave_organ_out,Breast
MISC26,train,leave_organ_out,Breast
MISC27,train,leave_organ_out,Breast
MISC28,train,leave_organ_out,Breast
MISC29,train,leave_organ_out,Breast
MISC30,train,leave_organ_out,Breast
MISC31,train,leave_organ_out,Breast
MISC32,train,leave_organ_out,Breast
NCBI534,train,leave_organ_out,Breast
NCBI535,train,leave_organ_out,Breast
NCBI536,train,leave_organ_out,Breast
NCBI537,train,leave_organ_out,Breast
MEND41,train,leave_organ_out,Breast
MEND45,train,leave_organ_out,Breast
MEND47,train,leave_organ_out,Breast
MEND51,train,leave_organ_out,Breast
MEND52,train,leave_organ_out,Breast
TENX62,train,leave_organ_out,Breast
TENX72,train,leave_organ_out,Breast
MEND85,train,leave_organ_out,Breast
MEND86,train,leave_organ_out,Breast
MEND87,train,leave_organ_out,Breast
MEND88,train,leave_organ_out,Breast
MEND89,train,leave_organ_out,Breast
MEND90,train,leave_organ_out,Breast
TENX16,train,leave_organ_out,Breast
NCBI681,train,leave_organ_out,Breast
NCBI682,train,leave_organ_out,Breast
NCBI683,train,leave_organ_out,Breast
NCBI684,train,leave_organ_out,Breast
TENX51,train,leave_organ_out,Breast
TENX65,train,leave_organ_out,Breast
NCBI569,train,leave_organ_out,Breast
NCBI570,train,leave_organ_out,Breast
NCBI571,train,leave_organ_out,Breast
NCBI572,train,leave_organ_out,Breast
TENX46,train,leave_organ_out,Breast
TENX40,train,leave_organ_out,Breast
TENX41,train,leave_organ_out,Breast
INT25,train,leave_organ_out,Breast
INT26,train,leave_organ_out,Breast
INT27,train,leave_organ_out,Breast
INT28,train,leave_organ_out,Breast
INT35,train,leave_organ_out,Breast
MEND139,train,leave_organ_out,Breast
MEND140,train,leave_organ_out,Breast
MEND141,train,leave_organ_out,Breast
MEND142,train,leave_organ_out,Breast
MEND143,train,leave_organ_out,Breast
MEND144,train,leave_organ_out,Breast
MEND145,train,leave_organ_out,Breast
MEND146,train,leave_organ_out,Breast
MEND147,train,leave_organ_out,Breast
MEND148,train,leave_organ_out,Breast
MEND149,train,leave_organ_out,Breast
MEND150,train,leave_organ_out,Breast
MEND151,train,leave_organ_out,Breast
MEND152,train,leave_organ_out,Breast
MEND153,train,leave_organ_out,Breast
MEND154,train,leave_organ_out,Breast
MEND156,train,leave_organ_out,Breast
MEND157,train,leave_organ_out,Breast
MEND158,train,leave_organ_out,Breast
MEND159,train,leave_organ_out,Breast
MEND160,train,leave_organ_out,Breast
MEND161,train,leave_organ_out,Breast
MEND162,train,leave_organ_out,Breast
MEND59,train,leave_organ_out,Breast
MEND60,train,leave_organ_out,Breast
MEND61,train,leave_organ_out,Breast
MEND62,train,leave_organ_out,Breast
MEND37,train,leave_organ_out,Breast
MEND38,train,leave_organ_out,Breast
MEND39,train,leave_organ_out,Breast
MEND40,train,leave_organ_out,Breast
NCBI460,train,leave_organ_out,Breast
NCBI461,train,leave_organ_out,Breast
NCBI462,train,leave_organ_out,Breast
NCBI463,train,leave_organ_out,Breast
NCBI464,train,leave_organ_out,Breast
NCBI465,train,leave_organ_out,Breast
NCBI466,train,leave_organ_out,Breast
NCBI467,train,leave_organ_out,Breast
NCBI468,train,leave_organ_out,Breast
NCBI469,train,leave_organ_out,Breast
NCBI470,train,leave_organ_out,Breast
NCBI471,train,leave_organ_out,Breast
NCBI472,train,leave_organ_out,Breast
NCBI473,train,leave_organ_out,Breast
NCBI474,train,leave_organ_out,Breast
NCBI475,train,leave_organ_out,Breast
NCBI476,train,leave_organ_out,Breast
NCBI477,train,leave_organ_out,Breast
NCBI478,train,leave_organ_out,Breast
NCBI479,train,leave_organ_out,Breast
NCBI480,train,leave_organ_out,Breast
NCBI481,train,leave_organ_out,Breast
NCBI482,train,leave_organ_out,Breast
NCBI483,train,leave_organ_out,Breast
NCBI484,train,leave_organ_out,Breast
NCBI485,train,leave_organ_out,Breast
NCBI486,train,leave_organ_out,Breast
NCBI487,train,leave_organ_out,Breast
NCBI488,train,leave_organ_out,Breast
NCBI489,train,leave_organ_out,Breast
NCBI490,train,leave_organ_out,Breast
NCBI491,train,leave_organ_out,Breast
NCBI492,train,leave_organ_out,Breast
NCBI493,train,leave_organ_out,Breast
NCBI494,train,leave_organ_out,Breast
NCBI495,train,leave_organ_out,Breast
NCBI496,train,leave_organ_out,Breast
NCBI497,train,leave_organ_out,Breast
NCBI498,train,leave_organ_out,Breast
NCBI503,train,leave_organ_out,Breast
NCBI504,train,leave_organ_out,Breast
NCBI505,train,leave_organ_out,Breast
NCBI506,train,leave_organ_out,Breast
NCBI507,train,leave_organ_out,Breast
NCBI508,train,leave_organ_out,Breast
NCBI509,train,leave_organ_out,Breast
NCBI510,train,leave_organ_out,Breast
NCBI515,train,leave_organ_out,Breast
NCBI516,train,leave_organ_out,Breast
NCBI517,train,leave_organ_out,Breast
NCBI518,train,leave_organ_out,Breast
NCBI519,train,leave_organ_out,Breast
NCBI520,train,leave_organ_out,Breast
NCBI521,train,leave_organ_out,Breast
NCBI522,train,leave_organ_out,Breast
NCBI523,train,leave_organ_out,Breast
NCBI524,train,leave_organ_out,Breast
NCBI525,train,leave_organ_out,Breast
NCBI526,train,leave_organ_out,Breast
NCBI690,train,leave_organ_out,Breast
NCBI691,train,leave_organ_out,Breast
NCBI573,train,leave_organ_out,Breast
NCBI574,train,leave_organ_out,Breast
NCBI575,train,leave_organ_out,Breast
NCBI576,train,leave_organ_out,Breast
NCBI811,train,leave_organ_out,Breast
NCBI812,train,leave_organ_out,Breast
NCBI813,train,leave_organ_out,Breast
NCBI814,train,leave_organ_out,Breast
NCBI815,train,leave_organ_out,Breast
NCBI816,train,leave_organ_out,Breast
NCBI817,train,leave_organ_out,Breast
NCBI818,train,leave_organ_out,Breast
NCBI819,train,leave_organ_out,Breast
NCBI820,train,leave_organ_out,Breast
NCBI821,train,leave_organ_out,Breast
NCBI600,train,leave_organ_out,Bowel
NCBI601,train,leave_organ_out,Bowel
NCBI602,train,leave_organ_out,Bowel
NCBI603,train,leave_organ_out,Bowel
NCBI854,train,leave_organ_out,Bowel
NCBI855,train,leave_organ_out,Bowel
MISC33,test,leave_organ_out,Bowel
MISC34,test,leave_organ_out,Bowel
MISC35,test,leave_organ_out,Bowel
MISC36,test,leave_organ_out,Bowel
MISC37,test,leave_organ_out,Bowel
MISC38,test,leave_organ_out,Bowel
MISC39,test,leave_organ_out,Bowel
MISC40,test,leave_organ_out,Bowel
MISC41,test,leave_organ_out,Bowel
MISC42,test,leave_organ_out,Bowel
MISC43,test,leave_organ_out,Bowel
MISC44,test,leave_organ_out,Bowel
MISC45,test,leave_organ_out,Bowel
MISC46,test,leave_organ_out,Bowel
MISC47,test,leave_organ_out,Bowel
MISC48,test,leave_organ_out,Bowel
MISC49,test,leave_organ_out,Bowel
MISC50,test,leave_organ_out,Bowel
MISC51,test,leave_organ_out,Bowel
MISC52,test,leave_organ_out,Bowel
MISC53,test,leave_organ_out,Bowel
MISC54,test,leave_organ_out,Bowel
MISC55,test,leave_organ_out,Bowel
MISC56,test,leave_organ_out,Bowel
MISC57,test,leave_organ_out,Bowel
MISC58,test,leave_organ_out,Bowel
MISC59,test,leave_organ_out,Bowel
MISC60,test,leave_organ_out,Bowel
MISC61,test,leave_organ_out,Bowel
MISC62,test,leave_organ_out,Bowel
MISC63,test,leave_organ_out,Bowel
MISC64,test,leave_organ_out,Bowel
MISC65,test,leave_organ_out,Bowel
MISC66,test,leave_organ_out,Bowel
MISC67,test,leave_organ_out,Bowel
MISC68,test,leave_organ_out,Bowel
MISC69,test,leave_organ_out,Bowel
MISC70,test,leave_organ_out,Bowel
MISC71,test,leave_organ_out,Bowel
MISC72,test,leave_organ_out,Bowel
MISC73,test,leave_organ_out,Bowel
TENX152,test,leave_organ_out,Bowel
ZEN36,test,leave_organ_out,Bowel
ZEN37,test,leave_organ_out,Bowel
ZEN38,test,leave_organ_out,Bowel
ZEN39,test,leave_organ_out,Bowel
ZEN40,test,leave_organ_out,Bowel
ZEN41,test,leave_organ_out,Bowel
ZEN42,test,leave_organ_out,Bowel
ZEN43,test,leave_organ_out,Bowel
ZEN44,test,leave_organ_out,Bowel
ZEN45,test,leave_organ_out,Bowel
ZEN46,test,leave_organ_out,Bowel
ZEN47,test,leave_organ_out,Bowel
ZEN48,test,leave_organ_out,Bowel
ZEN49,test,leave_organ_out,Bowel
TENX70,test,leave_organ_out,Bowel
TENX28,test,leave_organ_out,Bowel
TENX29,test,leave_organ_out,Bowel
TENX49,test,leave_organ_out,Bowel
MEND33,test,leave_organ_out,Bowel
MEND34,test,leave_organ_out,Bowel
MEND35,test,leave_organ_out,Bowel
MEND36,test,leave_organ_out,Bowel
MEND91,test,leave_organ_out,Bowel
MEND92,test,leave_organ_out,Bowel
MEND93,test,leave_organ_out,Bowel
MEND95,test,leave_organ_out,Bowel
MEND96,test,leave_organ_out,Bowel
TENX89,test,leave_organ_out,Bowel
TENX90,test,leave_organ_out,Bowel
TENX91,test,leave_organ_out,Bowel
TENX92,test,leave_organ_out,Bowel
TENX73,train,leave_organ_out,Bowel
TENX56,train,leave_organ_out,Bowel
TENX27,train,leave_organ_out,Bowel
TENX30,train,leave_organ_out,Bowel
TENX31,train,leave_organ_out,Bowel
NCBI653,train,leave_organ_out,Bowel
NCBI654,train,leave_organ_out,Bowel
NCBI655,train,leave_organ_out,Bowel
NCBI656,train,leave_organ_out,Bowel
NCBI657,train,leave_organ_out,Bowel
NCBI628,train,leave_organ_out,Bowel
NCBI629,train,leave_organ_out,Bowel
NCBI630,train,leave_organ_out,Bowel
NCBI631,train,leave_organ_out,Bowel
NCBI632,train,leave_organ_out,Bowel
NCBI633,train,leave_organ_out,Bowel
NCBI634,train,leave_organ_out,Bowel
NCBI635,train,leave_organ_out,Bowel
NCBI636,train,leave_organ_out,Bowel
NCBI637,train,leave_organ_out,Bowel
NCBI638,train,leave_organ_out,Bowel
NCBI639,train,leave_organ_out,Bowel
NCBI640,train,leave_organ_out,Bowel
NCBI641,train,leave_organ_out,Bowel
MEND63,train,leave_organ_out,Bowel
MEND64,train,leave_organ_out,Bowel
MEND65,train,leave_organ_out,Bowel
MEND66,train,leave_organ_out,Bowel
MEND67,train,leave_organ_out,Bowel
MEND68,train,leave_organ_out,Bowel
MISC1,train,leave_organ_out,Bowel
MISC10,train,leave_organ_out,Bowel
MISC11,train,leave_organ_out,Bowel
MISC12,train,leave_organ_out,Bowel
MISC2,train,leave_organ_out,Bowel
MISC3,train,leave_organ_out,Bowel
MISC4,train,leave_organ_out,Bowel
MISC5,train,leave_organ_out,Bowel
MISC6,train,leave_organ_out,Bowel
MISC7,train,leave_organ_out,Bowel
MISC8,train,leave_organ_out,Bowel
MISC9,train,leave_organ_out,Bowel
TENX68,train,leave_organ_out,Bowel
NCBI776,train,leave_organ_out,Bowel
TENX13,train,leave_organ_out,Bowel
TENX14,train,leave_organ_out,Bowel
TENX39,train,leave_organ_out,Bowel
TENX23,train,leave_organ_out,Bowel
TENX53,train,leave_organ_out,Bowel
TENX24,train,leave_organ_out,Bowel
TENX50,train,leave_organ_out,Bowel
NCBI1,train,leave_organ_out,Bowel
NCBI2,train,leave_organ_out,Bowel
NCBI3,train,leave_organ_out,Bowel
NCBI4,train,leave_organ_out,Bowel
NCBI591,train,leave_organ_out,Bowel
NCBI592,train,leave_organ_out,Bowel
NCBI593,train,leave_organ_out,Bowel
NCBI594,train,leave_organ_out,Bowel
NCBI595,train,leave_organ_out,Bowel
NCBI771,train,leave_organ_out,Bowel
TENX15,train,leave_organ_out,Bowel
MISC101,train,leave_organ_out,Bowel
MISC102,train,leave_organ_out,Bowel
MISC103,train,leave_organ_out,Bowel
MISC104,train,leave_organ_out,Bowel
MISC105,train,leave_organ_out,Bowel
MISC106,train,leave_organ_out,Bowel
MISC107,train,leave_organ_out,Bowel
MISC108,train,leave_organ_out,Bowel
MISC109,train,leave_organ_out,Bowel
MISC110,train,leave_organ_out,Bowel
MISC111,train,leave_organ_out,Bowel
MISC112,train,leave_organ_out,Bowel
MISC113,train,leave_organ_out,Bowel
MISC114,train,leave_organ_out,Bowel
MISC115,train,leave_organ_out,Bowel
MISC116,train,leave_organ_out,Bowel
MISC117,train,leave_organ_out,Bowel
MISC118,train,leave_organ_out,Bowel
MISC119,train,leave_organ_out,Bowel
MISC120,train,leave_organ_out,Bowel
MISC121,train,leave_organ_out,Bowel
MISC122,train,leave_organ_out,Bowel
MISC123,train,leave_organ_out,Bowel
MISC124,train,leave_organ_out,Bowel
MISC125,train,leave_organ_out,Bowel
MISC126,train,leave_organ_out,Bowel
MISC127,train,leave_organ_out,Bowel
MISC128,train,leave_organ_out,Bowel
MISC129,train,leave_organ_out,Bowel
MISC130,train,leave_organ_out,Bowel
MISC131,train,leave_organ_out,Bowel
MISC132,train,leave_organ_out,Bowel
MISC133,train,leave_organ_out,Bowel
MISC134,train,leave_organ_out,Bowel
MISC135,train,leave_organ_out,Bowel
MISC136,train,leave_organ_out,Bowel
MISC138,train,leave_organ_out,Bowel
MISC139,train,leave_organ_out,Bowel
MISC140,train,leave_organ_out,Bowel
MISC141,train,leave_organ_out,Bowel
MISC142,train,leave_organ_out,Bowel
NCBI562,train,leave_organ_out,Bowel
NCBI563,train,leave_organ_out,Bowel
NCBI564,train,leave_organ_out,Bowel
NCBI565,train,leave_organ_out,Bowel
NCBI566,train,leave_organ_out,Bowel
NCBI567,train,leave_organ_out,Bowel
NCBI568,train,leave_organ_out,Bowel
NCBI538,train,leave_organ_out,Bowel
NCBI539,train,leave_organ_out,Bowel
NCBI540,train,leave_organ_out,Bowel
MEND48,train,leave_organ_out,Bowel
MEND49,train,leave_organ_out,Bowel
MEND54,train,leave_organ_out,Bowel
TENX71,train,leave_organ_out,Bowel
NCBI599,train,leave_organ_out,Bowel
NCBI692,train,leave_organ_out,Bowel
NCBI693,train,leave_organ_out,Bowel
NCBI694,train,leave_organ_out,Bowel
NCBI695,train,leave_organ_out,Bowel
NCBI696,train,leave_organ_out,Bowel
NCBI697,train,leave_organ_out,Bowel
NCBI698,train,leave_organ_out,Bowel
NCBI699,train,leave_organ_out,Bowel
NCBI700,train,leave_organ_out,Bowel
NCBI701,train,leave_organ_out,Bowel
NCBI702,train,leave_organ_out,Bowel
NCBI703,train,leave_organ_out,Bowel
NCBI704,train,leave_organ_out,Bowel
NCBI705,train,leave_organ_out,Bowel
NCBI706,train,leave_organ_out,Bowel
NCBI707,train,leave_organ_out,Bowel
NCBI708,train,leave_organ_out,Bowel
NCBI709,train,leave_organ_out,Bowel
NCBI710,train,leave_organ_out,Bowel
NCBI711,train,leave_organ_out,Bowel
NCBI712,train,leave_organ_out,Bowel
NCBI713,train,leave_organ_out,Bowel
NCBI714,train,leave_organ_out,Bowel
INT1,train,leave_organ_out,Bowel
INT10,train,leave_organ_out,Bowel
INT11,train,leave_organ_out,Bowel
INT12,train,leave_organ_out,Bowel
INT13,train,leave_organ_out,Bowel
INT14,train,leave_organ_out,Bowel
INT15,train,leave_organ_out,Bowel
INT16,train,leave_organ_out,Bowel
INT17,train,leave_organ_out,Bowel
INT18,train,leave_organ_out,Bowel
INT19,train,leave_organ_out,Bowel
INT2,train,leave_organ_out,Bowel
INT20,train,leave_organ_out,Bowel
INT21,train,leave_organ_out,Bowel
INT22,train,leave_organ_out,Bowel
INT23,train,leave_organ_out,Bowel
INT24,train,leave_organ_out,Bowel
INT3,train,leave_organ_out,Bowel
INT4,train,leave_organ_out,Bowel
INT5,train,leave_organ_out,Bowel
INT6,train,leave_organ_out,Bowel
INT7,train,leave_organ_out,Bowel
INT8,train,leave_organ_out,Bowel
INT9,train,leave_organ_out,Bowel
NCBI642,train,leave_organ_out,Bowel
NCBI643,train,leave_organ_out,Bowel
NCBI826,train,leave_organ_out,Bowel
NCBI827,train,leave_organ_out,Bowel
NCBI828,train,leave_organ_out,Bowel
NCBI829,train,leave_organ_out,Bowel
NCBI830,train,leave_organ_out,Bowel
NCBI831,train,leave_organ_out,Bowel
NCBI832,train,leave_organ_out,Bowel
NCBI833,train,leave_organ_out,Bowel
NCBI672,train,leave_organ_out,Bowel
NCBI673,train,leave_organ_out,Bowel
NCBI674,train,leave_organ_out,Bowel
NCBI675,train,leave_organ_out,Bowel
MISC13,train,leave_organ_out,Bowel
MISC14,train,leave_organ_out,Bowel
MISC15,train,leave_organ_out,Bowel
MISC16,train,leave_organ_out,Bowel
MISC17,train,leave_organ_out,Bowel
MISC18,train,leave_organ_out,Bowel
MISC19,train,leave_organ_out,Bowel
MISC20,train,leave_organ_out,Bowel
MISC21,train,leave_organ_out,Bowel
MISC22,train,leave_organ_out,Bowel
MISC23,train,leave_organ_out,Bowel
MISC24,train,leave_organ_out,Bowel
MISC25,train,leave_organ_out,Bowel
MISC26,train,leave_organ_out,Bowel
MISC27,train,leave_organ_out,Bowel
MISC28,train,leave_organ_out,Bowel
MISC29,train,leave_organ_out,Bowel
MISC30,train,leave_organ_out,Bowel
MISC31,train,leave_organ_out,Bowel
MISC32,train,leave_organ_out,Bowel
NCBI534,train,leave_organ_out,Bowel
NCBI535,train,leave_organ_out,Bowel
NCBI536,train,leave_organ_out,Bowel
NCBI537,train,leave_organ_out,Bowel
MEND41,train,leave_organ_out,Bowel
MEND45,train,leave_organ_out,Bowel
MEND47,train,leave_organ_out,Bowel
MEND51,train,leave_organ_out,Bowel
